"protein_id","Apical_Buds_0h_R2","Apical_Buds_0h_R3","Apical_Buds_2h_R1","Apical_Buds_2h_R2","Apical_Buds_2h_R4","Axillary_Buds_0h_R1","Axillary_Buds_0h_R2","Axillary_Buds_0h_R3","Axillary_Buds_2h_R1","Axillary_Buds_2h_R2","Axillary_Buds_2h_R3"
"B0M3E8;Q43070",9.64903327850815,9.27612440527424,10.0349997407655,NA,10.5932316385969,19.4049873851547,19.9221832335341,19.583612350113,9.21745661669441,9.21745661669441,9.09714758369096
"E3VST7",11.3192292662709,11.3169569137058,12.6777723550529,11.7936816546523,12.6979698907107,21.7322966421619,21.3575515002753,21.1716240127832,10.7466702259782,10.7466702259782,10.8522456739671
"G9FRT5",12.0869294786683,11.1985974538625,13.062483228374,12.7437915170656,12.8272903613656,21.4802856581407,20.8970825692801,20.8586674824993,10.305418264223,10.305418264223,11.2463106377976
"O04300",11.9432625037606,11.6688943464402,13.6988942512538,12.9941840756718,14.0566378686721,21.4177955861057,21.6480722788042,21.1516057899736,11.8842521918303,11.8842521918303,12.2381098762023
"O04862",9.65366797735625,8.35755200461808,11.0550146114161,10.1984450414524,11.2676851558145,20.0365927313433,19.7866486338135,19.7276610944991,9.91587937883577,9.91587937883577,10.0888265580373
"O22437",11.2612666889841,10.3032661022641,11.9658479544743,11.4485652911826,12.0362720584915,21.0133818886107,20.6128837779923,20.7467439955845,9.76398153417929,9.76398153417929,9.66736480777893
"O24296",11.696141496181,10.6033550885593,12.6249116298632,11.406248233469,12.1262236164055,21.3692021279702,21.388989262018,21.5608480362725,9.98376453735015,9.98376453735015,10.3472637162509
"O24303",11.6584245286824,10.7390476560175,12.6045296511197,12.0589712040382,12.7956081109567,20.8453613967137,19.9383547995637,20.3369978998594,10.231603199907,10.231603199907,10.1743047435465
"O49929",10.2002527614592,9.5073885230874,11.6910515610464,11.4750706376479,11.5017956562104,22.3828953590362,22.2425062284388,22.2414524293404,10.4718311864885,10.4718311864885,10.392671148534
"O49931",10.8258631889396,9.90743005713674,12.0768058758921,11.3298989907291,11.4112054949103,20.3534489544182,20.5056889809352,20.3279427037346,10.7592559042164,10.7592559042164,10.6547447351852
"O50044",10.9177294725994,10.352803699374,11.6896552404682,11.9199909568625,12.6827974478434,21.4135366448821,21.5889910796131,21.4929769840802,10.8637719170262,10.8637719170262,10.6930823098996
"O82043",12.7880360004208,11.7743305525339,14.0004271020369,13.2534584726183,14.1578764760652,22.9857476624033,22.7681913420585,22.4474705630288,12.3979155598195,12.3979155598195,12.1388266051047
"O82134",12.1837793537491,11.4492028513891,13.7556848360698,13.0077495431555,13.7636033111938,22.5804382196028,22.3156416946996,22.2453553713412,13.651731033074,13.651731033074,13.0494612793359
"O82711",10.3919463328378,9.48345315395678,11.0656779333279,10.9045470967816,11.8437250570745,20.6716904841084,20.50274068924,20.3061483794602,12.37733772447,12.37733772447,11.3523094165556
"P00155",13.3288855660238,12.4124335326762,14.3903651457397,13.6736472575122,13.9153403425211,20.5363799295579,20.0908056089759,20.4575412310692,10.5954157307885,10.5954157307885,10.7970893849091
"P00869",13.9430767562394,13.6224654956143,14.2907712199188,13.3593803450765,14.3092255733603,22.537327938941,22.8023331422791,23.0592255356347,14.038770143703,14.038770143703,14.8602021328383
"P04717",15.2527746368479,14.1246286653007,15.5826930176117,15.2253866450518,15.322414574072,23.4106098612202,23.1681140962822,24.1553060703297,12.9505743382339,12.9505743382339,13.0778992922251
